description Old,description New ,similarity,Title New,Title Old,similarity
أصدر رئيس مجلس السيادة الانتقالي في السودان، عبد الفتاح البرهان، الأربعاء، مرسوما دستوريا يعفي بموجبه 5 من أعضاء مجلس السيادة المدنيين.,أصدر رئيس مجلس السيادة الانتقالي في السودان، عبد الفتاح البرهان، الأربعاء، مرسوما دستوريا يعفي بموجبه 5 من أعضاء مجلس السيادة المدنيين.,1.0,بالأسماء.. البرهان يعفي 5 أعضاء مدنيين من مجلس السيادة, بالأسماء.. البرهان يعفي 5 أعضاء مدنيين من مجلس السيادة ,0.9818181818181818
بدأ حجاج بيت الله الحرام بالتوافد، صباح الخميس، إلى مشعر منى لقضاء يوم التروية 8 من ذي الحجة، متبعين ومقتدين بسنة النبي محمد صلى الله عليه وسلم في صورة روحانية وإيمانية.,بدأ حجاج بيت الله الحرام بالتوافد، صباح الخميس، إلى مشعر منى لقضاء يوم التروية 8 من ذي الحجة، متبعين ومقتدين بسنة النبي محمد صلى الله عليه وسلم في صورة روحانية وإيمانية.,1.0,فيديو.. ضيوف الرحمن يتوافدون إلى مشعر منى لقضاء يوم التروية, فيديو.. ضيوف الرحمن يتوافدون إلى مشعر منى لقضاء يوم التروية ,0.9833333333333333
بعدما بسطت روسيا سيطرتها على منطقة لوغانسك، بدأت قواتها الزحف نحو بقية المدن في إقليم دونباس الذي تنتمي إليه لوغانسك، ويرتكز الجهد العسكري الروسب حاليا على ثلاثة مدن بعينها.,بعدما بسطت روسيا سيطرتها على منطقة لوغانسك، بدأت قواتها الزحف نحو بقية المدن في إقليم دونباس الذي تنتمي إليه لوغانسك، ويرتكز الجهد العسكري الروسب حاليا على ثلاثة مدن بعينها.,1.0,بعد لوغانسك.. عين روسيا على 3 مدن في دونيتسك, بعد لوغانسك.. عين روسيا على 3 مدن في دونيتسك ,0.9777777777777777
"أعلنت الشرطة الأميركية، الأربعاء، أن منفذ الهجوم المسلح الذي استهدف مشاركين في عرض بمناسبة عيد الاستقلال في هايلاند بارك قرب شيكاغو، الإثنين، ""فكر جديا في تنفيذ هجوم ثانٍ مماثل في مدينة ماديسون القريبة"".","أعلنت الشرطة الأميركية، الأربعاء، أن منفذ الهجوم المسلح الذي استهدف مشاركين في عرض بمناسبة عيد الاستقلال في هايلاند بارك قرب شيكاغو، الإثنين، ""فكر جديا في تنفيذ هجوم ثانٍ مماثل في مدينة ماديسون القريبة"".",1.0,"الشرطة تكشف مفاجأة عن ""سفاح شيكاغو"".. هذا ما كان ينوي فعله"," الشرطة تكشف مفاجأة عن ""سفاح شيكاغو"".. هذا ما كان ينوي فعله ",0.9830508474576272
سجل الجنيه الإسترليني أدنى مستوى له فيما يزيد على عامين مقابل الدولار، اليوم الأربعاء، مع تشبث رئيس الوزراء البريطاني بوريس جونسون بالسلطة على الرغم من استقالة وزراء بارزين بحكومته.,سجل الجنيه الإسترليني أدنى مستوى له فيما يزيد على عامين مقابل الدولار، اليوم الأربعاء، مع تشبث رئيس الوزراء البريطاني بوريس جونسون بالسلطة على الرغم من استقالة وزراء بارزين بحكومته.,1.0,"ضربة للجنيه الإسترليني.. ""زلزال جونسون"" أم الوضع العالمي؟"," ضربة للجنيه الإسترليني.. ""زلزال جونسون"" أم الوضع العالمي؟ ",0.9827586206896551
 أعلن تنظيم داعش، الأربعاء،  مسؤوليته عن اقتحام سجن بالعاصمة النيجيرية أبوجا، وذلك في عملية أسفرت عن هروب نحو 440 سجينا حسبما نقلته رويترز عن مسؤول بوزارة الداخلية., أعلن تنظيم داعش، الأربعاء،  مسؤوليته عن اقتحام سجن بالعاصمة النيجيرية أبوجا، وذلك في عملية أسفرت عن هروب نحو 440 سجينا حسبما نقلته رويترز عن مسؤول بوزارة الداخلية.,1.0,داعش يعلن مسؤوليته عن اقتحام سجن وتهريب 440 سجينا في نيجيريا, داعش يعلن مسؤوليته عن اقتحام سجن وتهريب 440 سجينا في نيجيريا ,0.9836065573770492
قالت منظمة الصحة العالمية إنه جرى تسجيل أكثر من ستة آلاف إصابة بمرض جدري القردة في 58 دولة في التفشي الحالي للمرض.,قالت منظمة الصحة العالمية إنه جرى تسجيل أكثر من ستة آلاف إصابة بمرض جدري القردة في 58 دولة في التفشي الحالي للمرض.,1.0,منظمة الصحة العالمية تكشف عدد إصابات جدري القردة حول العالم, منظمة الصحة العالمية تكشف عدد إصابات جدري القردة حول العالم ,0.9833333333333333
قال مسؤولون أوكرانيون، الأربعاء، إن القوات الأوكرانية أحبطت حتى الآن محاولة روسية للتقدم إلى شمال منطقة دونيتسك غير أن مدينة سلوفيانسك ومناطق مدنية أخرى تعرضت لقصف مكثف.,قال مسؤولون أوكرانيون، الأربعاء، إن القوات الأوكرانية أحبطت حتى الآن محاولة روسية للتقدم إلى شمال منطقة دونيتسك غير أن مدينة سلوفيانسك ومناطق مدنية أخرى تعرضت لقصف مكثف.,1.0,معركة دونباس.. قتال عنيف وتوغل روسي صوب دونيتسك, معركة دونباس.. قتال عنيف وتوغل روسي صوب دونيتسك ,0.9791666666666666
"أفادت صحيفة ""ذا ميرور"" أن رئيس الوزراء البريطاني بوريس جونسون، الذي قال اليوم الخميس إنه سيستقيل، من المقرر أن يقيم حفل زفاف كبير في مقر إقامته الرسمي بتشيكرز للاحتفال بزفافه من زوجته كاري في وقت لاحق من الشهر الجاري.","أفادت صحيفة ""ذا ميرور"" أن رئيس الوزراء البريطاني بوريس جونسون، الذي قال اليوم الخميس إنه سيستقيل، من المقرر أن يقيم حفل زفاف كبير في مقر إقامته الرسمي بتشيكرز للاحتفال بزفافه من زوجته كاري في وقت لاحق من الشهر الجاري.",1.0,"""سبب"" تأجيل الرحيل.. جونسون يعتزم إقامة حفل زفاف ""فخم"""," ""سبب"" تأجيل الرحيل.. جونسون يعتزم إقامة حفل زفاف ""فخم"" ",0.9818181818181818
"بات الملياردير الأميركي إيلون ماسك أبا لتسعة أبناء، بعدما كشفت تقارير إعلامية أن الرئيس التنفيذي لشركة ""تسلا"" أنجب، في أواخر عام 2021، توأما مسؤولة تنفيذية كبيرة في شركته للذكاء الاصطناعي ""نيورالينك""، تدعى شيفون زيليس.","بات الملياردير الأميركي إيلون ماسك أبا لتسعة أبناء، بعدما كشفت تقارير إعلامية أن الرئيس التنفيذي لشركة ""تسلا"" أنجب، في أواخر عام 2021، توأما مسؤولة تنفيذية كبيرة في شركته للذكاء الاصطناعي ""نيورالينك""، تدعى شيفون زيليس.",1.0,"""أب لـ 9 أبناء"".. لماذا يفضل إيلون ماسك إنجاب أطفال كثيرين؟"," ""أب لـ 9 أبناء"".. لماذا يفضل إيلون ماسك إنجاب أطفال كثيرين؟ ",0.9833333333333333
